zip,population,borough,pct_hispanic_or_latino,pct_asian,pct_american_indian_and_alaska_native,pct_black_or_african_american,pct_white,pct_native_hawaiian_and_other_pacific_islander,pct_some_other_race,pct_two_or_more_races,pct_below_poverty
10036,28487,MANHATTAN,21.62,18.28,0.17,6.69,50.53,0,0.06,2.65,14.33
11414,28313,QUEENS,21.77,4.09,0,2.07,69.53,0,0.54,2.01,9.68
11001,28021,QUEENS,12.54,21.37,0.38,5.48,58.26,0,0.38,1.6,3.17
10039,27854,MANHATTAN,32.53,1.59,0.2,56.8,6.34,0.04,0.04,2.46,25.47
11429,27454,QUEENS,13.86,4.48,0.65,70.6,1.88,0.12,5.8,2.6,8.03
10303,27401,STATEN ISLAND,39.44,7.69,0.04,32.47,18.45,0,0.22,1.69,23.01
11361,27201,QUEENS,12.5,41.29,0,4.19,40.89,0,0.1,1.03,8.07
11416,26744,QUEENS,45.06,32.98,0,4.84,12.55,0.11,1.33,3.13,14.11
11232,26430,BROOKLYN,49.92,18.54,0.3,5.42,22.87,0.07,0.29,2.59,20.15
11104,25114,QUEENS,28.65,24.03,0.12,1.31,43.73,0,0.22,1.94,10.14
11427,24560,QUEENS,19.48,33.54,0.6,19.9,18.57,0,4.5,3.4,8.54
10001,24117,MANHATTAN,15.51,22.3,0.07,5.74,54.58,0.09,0.38,1.34,13.06
10310,23800,STATEN ISLAND,31.07,5.69,0.09,19.46,42,0,0.02,1.67,16.41
11356,23494,QUEENS,40.22,31.82,0,1.78,23.47,0.32,0.51,1.89,9.9
10012,23318,MANHATTAN,7.75,18.22,0,2.37,68.8,0,0.09,2.78,11.08
10038,23311,MANHATTAN,11.71,29.12,0.25,7,47.91,0,0.38,3.63,18.57
10471,22422,BRONX,24.24,5.11,0,9.74,57.81,0,1.24,1.87,9.25
10075,22252,MANHATTAN,15.6,6.11,0.53,3.17,71.3,0,0,3.3,2.45
11692,22074,QUEENS,23.29,5.29,0.19,56.79,11.43,0,1.68,1.34,25.6
11694,21202,QUEENS,15.17,2.92,0.75,5.79,73.55,0,0.87,0.95,11.19
11411,20719,QUEENS,6.17,0.27,0.07,90.9,1.08,0,0.86,0.66,4.05
11426,20524,QUEENS,19.94,43.65,0.04,5.48,27.61,0,0.73,2.56,7.68
10037,20462,MANHATTAN,20.98,2.79,0.04,68.18,5.95,0,0.07,1.98,25.16
11436,19167,QUEENS,14.69,8.89,0,60.9,1.72,0,8.69,5.11,11.24
11360,18954,QUEENS,10.59,36.8,0.12,0.78,50.07,0,0.1,1.54,7.16
11415,18891,QUEENS,25.13,16.24,0.69,6.15,48.39,0.08,0.91,2.42,10.13
